행정동,구_x,행정동코드,1인가구,생활인구,동면적,도로율,도로면적,사망자수,중상자수,경상자수,교차로,단일
강남신사,강남구,11680510,1094.0,75610,2.53,0.2406,0.617358,1,51,7,22,23
개포동,강남구,11680660,3888.0,49830,5.27,0.2406,1.267962,0,39,12,24,15
논현동,강남구,11680521,11739.0,88619,2.72,0.2406,0.654432,0,139,27,49,67
대치동,강남구,11680600,6426.0,119943,3.52,0.2406,0.846912,3,94,7,41,52
도곡동,강남구,11680655,3280.0,65611,2.04,0.2406,0.490824,1,40,9,22,19
삼성동,강남구,11680580,5669.0,84278,3.18,0.2406,0.765108,0,64,16,21,38
세곡동,강남구,11680700,4891.0,44886,6.36,0.2406,1.530216,0,10,1,5,5
수서동,강남구,11680750,3083.0,23720,1.43,0.2406,0.344058,1,19,1,10,6
압구정동,강남구,11680545,1822.0,44405,2.53,0.2406,0.608718,1,8,1,4,5
역삼동,강남구,11680640,12735.0,109277,2.35,0.2406,0.56541,4,136,23,72,59
일원동,강남구,11680720,923.0,24822,2.58,0.2406,0.620748,2,27,0,13,14
청담동,강남구,11680565,3203.0,43384,2.33,0.2406,0.560598,3,44,4,19,24
강일동,강동구,11740515,2081.0,51629,2.26,0.2432,0.549632,1,8,4,7,2
길동,강동구,11740685,6909.0,56112,2.17,0.2432,0.527744,0,33,7,21,10
둔촌동,강동구,11740690,2395.0,31547,1.9,0.2432,0.46208,0,16,2,5,10
명일동,강동구,11740530,2461.0,42377,1.58,0.2432,0.384256,1,44,5,27,17
성내동,강동구,11740640,10085.0,74561,1.96,0.2432,0.476672,0,29,1,11,15
암사동,강동구,11740570,4551.0,27282,1.02,0.2432,0.248064,0,33,10,15,15
천호동,강동구,11740600,3749.0,29749,0.71,0.2432,0.172672,1,83,9,46,33
미아동,강북구,11305535,4807.0,22843,0.93,0.2093,0.194649,1,135,31,63,58
번동,강북구,11305590,8632.0,45194,2.71,0.2093,0.567203,4,56,10,28,24
수유동,강북구,11305575,17567.0,122683,5.11,0.2093,1.069523,1,124,26,75,39
우이동,강북구,11305645,6373.0,47620,13.56,0.2093,2.838108,1,5,0,5,0
가양동,강서구,11500603,17571.0,75209,6.2,0.2699,1.67338,2,20,4,12,9
공항동,강서구,11500620,4329.0,34201,10.87,0.2699,2.933813,0,9,4,6,2
등촌동,강서구,11500520,13503.0,77863,2.35,0.2699,0.634265,0,46,9,25,15
발산동,강서구,11500611,2152.0,35295,2.94,0.2699,0.793506,0,25,4,16,3
방화동,강서구,11500630,11812.0,75010,10.44,0.2699,2.817756,1,32,3,20,10
염창동,강서구,11500510,2993.0,30781,1.74,0.2699,0.469626,4,16,5,10,7
우장산동,강서구,11500615,2826.0,32164,1.36,0.2699,0.367064,2,54,15,36,15
화곡동,강서구,11500590,5647.0,28260,0.98,0.2699,0.264502,1,150,28,73,63
남현동,관악구,11620630,12518.0,73699,4.62,0.2531,1.173942,0,14,0,7,7
봉천동,관악구,11620575,59604.0,197525,8.03,0.2531,2.040423,2,211,34,111,82
신림동,관악구,11620775,64393.0,212017,18.81,0.2531,4.754106,5,237,48,128,87
광장동,광진구,11215810,1501.0,35627,2.39,0.2883,0.689037,0,7,0,2,5
구의동,광진구,11215850,11750.0,76407,2.97,0.2883,0.856251,0,30,6,16,12
군자동,광진구,11215730,5546.0,19049,0.74,0.2883,0.213342,0,19,3,9,10
능동,광진구,11215780,3251.0,14936,1.1,0.2883,0.31713,0,10,0,6,3
자양동,광진구,11215820,4616.0,24247,0.57,0.2883,0.164331,0,46,6,23,16
중곡동,광진구,11215740,3282.0,15042,0.62,0.2883,0.178746,0,52,9,25,21
화양동,광진구,11215710,12704.0,38766,1.16,0.2883,0.334428,0,25,1,13,10
가리봉동,구로구,11530595,2849.0,11309,0.4,0.2206,0.08824,3,17,3,13,7
개봉동,구로구,11530740,7824.0,68040,2.92,0.2206,0.644152,4,67,9,42,26
고척동,구로구,11530720,5132.0,39092,2.18,0.2206,0.480908,1,28,7,16,10
구로동,구로구,11530520,17133.0,109083,3.53,0.2206,0.778718,5,117,23,65,53
수궁동,구로구,11530790,2086.0,22064,2.67,0.2206,0.589002,0,5,1,3,2
신도림동,구로구,11530510,2324.0,32957,1.47,0.2206,0.324282,0,23,5,9,8
오류동,구로구,11530770,4624.0,14712,0.59,0.2206,0.130154,2,118,23,72,32
가산동,금천구,11545510,9775.0,60073,2.52,0.2138,0.538776,4,37,11,20,19
독산동,금천구,11545610,19213.0,81826,4.2,0.2138,0.89796,4,127,32,82,41
시흥동,금천구,11545670,5285.0,27398,1.71,0.2138,0.365598,2,65,14,38,26
공릉동,노원구,11350595,12139.0,85386,8.23,0.2371,1.951333,1,78,14,51,20
상계동,노원구,11350630,20848.0,201877,15.68,0.2371,3.717728,2,137,35,83,48
월계동,노원구,11350560,3440.0,21766,1.16,0.2371,0.275036,0,47,7,26,17
중계동,노원구,11350619,1105.0,20543,1.97,0.2371,0.467087,2,46,3,31,10
하계동,노원구,11350611,3265.0,25475,1.55,0.2371,0.367505,0,35,2,18,15
도봉동,도봉구,11320521,5958.0,37855,9.55,0.1902,1.81641,2,37,4,22,14
방학동,도봉구,11320690,7669.0,55198,4.05,0.1902,0.77031,0,51,6,22,21
쌍문동,도봉구,11320660,2489.0,17033,1.24,0.1902,0.235848,0,64,16,43,19
창동,도봉구,11320511,16023.0,119552,13.85,0.1902,3.080571,2,59,13,39,18
답십리동,동대문구,11230600,7165.0,45265,1.66,0.2216,0.367856,2,81,7,48,28
이문동,동대문구,11230740,5774.0,22796,1.04,0.2216,0.230464,2,40,3,21,20
장안동,동대문구,11230650,5502.0,34611,1.25,0.2216,0.277,3,103,8,59,41
전농동,동대문구,11230560,5814.0,29657,1.19,0.2216,0.263704,2,54,6,32,21
제기동,동대문구,11230545,5399.0,32853,1.18,0.2216,0.261488,1,54,6,31,18
청량리동,동대문구,11230705,3236.0,18344,1.2,0.2216,0.26592,0,29,7,19,10
회기동,동대문구,11230710,4044.0,19814,0.76,0.2216,0.168416,2,105,9,69,32
회기동,동대문구,11230710,4044.0,19814,0.76,0.2216,0.168416,0,17,3,8,7
휘경동,동대문구,11230720,3336.0,16572,0.63,0.2216,0.139608,1,30,2,14,17
노량진동,동작구,11590510,8668.0,53834,2.22,0.1729,0.383838,1,50,8,24,21
대방동,동작구,11590660,6011.0,40643,1.55,0.1729,0.267995,0,20,4,8,8
사당동,동작구,11590620,16611.0,100694,5.41,0.1729,0.935389,0,54,3,26,23
상도동,동작구,11590530,21449.0,104851,3.84,0.1729,0.663936,1,96,20,51,36
신대방동,동작구,11590670,3128.0,16715,0.62,0.1729,0.107198,2,40,11,24,12
흑석동,동작구,11590605,4562.0,31408,1.68,0.1729,0.290472,1,16,2,5,9
공덕동,마포구,11440565,6338.0,39172,1.01,0.2861,0.288961,1,27,2,13,12
대흥동,마포구,11440600,4027.0,22159,0.87,0.2861,0.248907,0,21,2,11,8
도화동,마포구,11440585,2610.0,16878,0.62,0.2861,0.177382,0,9,3,6,2
망원동,마포구,11440690,6227.0,37058,1.8,0.2861,0.51498,0,44,15,18,23
상암동,마포구,11440740,3741.0,47615,8.4,0.2861,2.40324,2,19,4,15,5
서교동,마포구,11440660,1178.0,74251,1.65,0.2861,0.472065,0,28,7,17,9
성산동,마포구,11440720,3506.0,21778,0.8,0.2861,0.22888,3,24,5,14,10
신수동,마포구,11440630,3184.0,17843,0.78,0.2861,0.223158,2,12,2,8,4
아현동,마포구,11440555,2269.0,25447,0.76,0.2861,0.217436,0,14,3,6,7
연남동,마포구,11440710,4142.0,18810,0.64,0.2861,0.183104,0,12,2,6,6
염리동,마포구,11440610,1775.0,10856,0.44,0.2861,0.125884,0,6,0,2,4
용강동,마포구,11440590,2388.0,31535,0.84,0.2861,0.240324,0,7,1,6,1
합정동,마포구,11440680,3699.0,23209,1.72,0.2861,0.492092,0,15,2,12,1
남가좌동,서대문구,11410690,5179.0,25136,1.28,0.1725,0.2208,0,15,1,5,10
북가좌동,서대문구,11410710,5635.0,51078,1.39,0.1725,0.239775,0,35,5,20,15
북아현동,서대문구,11410555,2261.0,37843,0.46,0.1725,0.07935,0,11,1,4,6
신촌동,서대문구,11410585,9002.0,54462,2.63,0.1725,0.453675,1,13,0,2,11
연희동,서대문구,11410615,9005.0,35821,3.05,0.1725,0.526125,1,33,2,20,12
천연동,서대문구,11410520,2388.0,15977,0.97,0.1725,0.167325,2,28,5,13,15
충현동,서대문구,11410565,3880.0,40110,1.12,0.1725,0.1932,0,12,0,5,6
홍은동,서대문구,11410660,2538.0,14373,1.58,0.1725,0.27255,2,27,3,17,11
홍제동,서대문구,11410620,2736.0,22770,1.23,0.1725,0.212175,1,23,6,10,13
내곡동,서초구,11650660,1583.0,25426,12.68,0.2635,3.34118,0,4,1,1,2
반포동,서초구,11650550,7775.0,119026,6.07,0.2635,1.599445,1,60,12,26,25
방배동,서초구,11650590,10240.0,104168,6.68,0.2635,1.76018,1,66,9,29,34
서초동,서초구,11650510,12821.0,185510,6.47,0.2635,1.704845,2,115,8,52,60
양재동,서초구,11650651,4776.0,53856,5.76,0.2635,1.51776,1,48,4,24,23
잠원동,서초구,11650540,2809.0,33623,1.76,0.2635,0.46376,1,24,5,18,7
금호동,성동구,11200590,5681.0,47140,1.94,0.2309,0.447946,1,31,1,17,12
마장동,성동구,11200540,3674.0,21357,1.05,0.2309,0.242445,0,39,4,19,18
사근동,성동구,11200550,4754.0,22798,1.1,0.2309,0.25399,0,4,1,3,1
성수동,성동구,11200650,2435.0,19100,1.97,0.2309,0.454873,2,87,11,54,30
송정동,성동구,11200720,2305.0,10673,0.75,0.2309,0.173175,0,3,1,1,2
옥수동,성동구,11200645,2391.0,27136,1.94,0.2309,0.447946,0,13,0,8,5
왕십리동,성동구,11200520,2275.0,14701,0.41,0.2309,0.094669,1,29,5,19,9
용답동,성동구,11200790,3111.0,19296,2.31,0.2309,0.533379,0,11,0,5,6
응봉동,성동구,11200580,1053.0,10736,0.57,0.2309,0.131613,0,1,0,0,1
행당동,성동구,11200560,1930.0,19405,0.59,0.2309,0.136231,2,52,7,33,19
길음동,성북구,11290660,3387.0,53571,1.37,0.2359,0.323183,2,22,2,7,14
돈암동,성북구,11290580,2573.0,26298,0.97,0.2359,0.228823,0,18,6,4,12
동선동,성북구,11290575,5186.0,24597,0.73,0.2359,0.172207,2,41,3,14,26
보문동,성북구,11290610,3011.0,15848,0.56,0.2359,0.132104,1,19,6,12,5
삼선동,성북구,11290555,4790.0,25648,0.92,0.2359,0.217028,0,18,2,9,8
석관동,성북구,11290810,5492.0,26794,1.73,0.2359,0.408107,0,25,3,12,11
성북동,성북구,11290525,2945.0,21015,2.86,0.2359,0.674674,0,4,2,2,2
안암동,성북구,11290600,5964.0,22949,1.33,0.2359,0.313747,0,33,0,13,16
월곡동,성북구,11290715,2454.0,24836,0.81,0.2359,0.191079,2,51,3,22,25
장위동,성북구,11290760,2487.0,20724,0.7,0.2359,0.16513,6,37,8,20,17
정릉동,성북구,11290620,1819.0,13843,0.44,0.2359,0.103796,1,44,1,18,24
종암동,성북구,11290705,5568.0,36442,1.46,0.2359,0.344414,0,43,4,20,21
가락동,송파구,11710620,6700.0,90441,3.43,0.2068,0.709324,0,67,4,44,20
거여동,송파구,11710531,3279.0,31511,1.04,0.2068,0.215072,1,18,1,12,7
마천동,송파구,11710540,4699.0,27304,1.47,0.2068,0.303996,0,16,1,6,10
문정동,송파구,11710641,9649.0,61486,2.76,0.2068,0.570768,1,38,9,23,12
방이동,송파구,11710561,8022.0,54113,1.3,0.2068,0.26884,0,50,13,22,26
삼전동,송파구,11710610,6327.0,30645,0.95,0.2068,0.19646,0,21,5,9,11
석촌동,송파구,11710600,6716.0,28987,0.95,0.2068,0.19646,0,28,3,17,9
송파동,송파구,11710580,4706.0,30626,0.79,0.2068,0.163372,0,54,3,35,16
신천동,송파구,99999999,1398.0,60196,5.72,0.2068,1.182896,1,38,10,23,12
오금동,송파구,11710570,3077.0,36364,1.65,0.2068,0.34122,0,38,5,24,11
잠실동,송파구,11710650,6559.0,34362,0.94,0.2068,0.194392,2,77,14,45,30
장지동,송파구,11710646,2747.0,34212,1.37,0.2068,0.283316,1,27,2,16,11
풍납동,송파구,11710510,1869.0,15392,0.77,0.2068,0.159236,0,24,2,15,9
목동,양천구,11470510,10184.0,105218,3.54,0.2788,0.986952,1,55,6,27,25
신월동,양천구,11470560,13708.0,82193,4.94,0.2788,1.377272,2,78,15,40,37
신정동,양천구,11470620,38144.0,307741,13.21,0.2788,3.342388,3,98,15,50,47
당산동,영등포구,11560550,11586.0,62167,2.3,0.2423,0.55729,0,52,6,24,24
대림동,영등포구,11560700,8022.0,60673,1.99,0.2423,0.482177,0,47,3,32,11
도림동,영등포구,11560585,3625.0,14379,0.89,0.2423,0.215647,0,11,3,9,2
문래동,영등포구,11560605,2947.0,38798,1.49,0.2423,0.361027,0,43,7,22,16
신길동,영등포구,11560630,4995.0,17441,0.66,0.2423,0.159918,1,78,15,35,43
양평동,영등포구,11560610,3721.0,19063,0.88,0.2423,0.213224,3,49,7,24,26
여의도동,영등포구,11560540,2672.0,93805,8.4,0.2423,2.03532,1,66,17,39,24
영등포동,영등포구,11560535,10170.0,52908,1.26,0.2423,0.305298,0,74,12,31,39
남영동,용산구,11170530,2382.0,16866,1.19,0.2219,0.264061,0,8,4,4,3
보광동,용산구,11170700,3121.0,10431,0.71,0.2219,0.157549,0,16,1,6,8
서빙고동,용산구,11170690,,15513,2.8,0.2219,0.62132,1,26,5,12,13
용문동,용산구,11170590,1576.0,8373,0.28,0.2219,0.062132,0,5,1,2,2
용산동,용산구,11170520,1911.0,12028,1.96,0.2219,0.434924,0,23,0,7,13
원효로동,용산구,11170560,2735.0,20859,0.59,0.2219,0.130921,0,9,3,6,2
이촌동,용산구,11170630,1212.0,25928,2.86,0.2219,0.634634,0,15,1,7,8
이태원동,용산구,11170650,1479.0,13442,0.57,0.2219,0.126483,0,38,5,12,19
청파동,용산구,11170555,5218.0,21959,0.9,0.2219,0.19971,1,17,2,8,9
한강로동,용산구,11170625,3755.0,51779,2.9,0.2219,0.64351,0,11,0,4,3
한남동,용산구,11170685,4154.0,31377,3.01,0.2219,0.667919,3,41,3,18,23
효창동,용산구,11170580,1082.0,9591,0.44,0.2219,0.097636,0,6,1,4,1
후암동,용산구,11170510,2800.0,13480,0.86,0.2219,0.190834,0,7,1,2,3
갈현동,은평구,11380551,6509.0,46427,1.93,0.2208,0.426144,0,23,5,13,8
구산동,은평구,11380560,2785.0,24661,1.38,0.2208,0.304704,0,14,3,11,1
녹번동,은평구,11380510,5033.0,33717,1.79,0.2208,0.395232,1,27,10,11,12
대조동,은평구,11380570,5597.0,40579,0.85,0.2208,0.18768,1,19,5,11,5
불광동,은평구,11380520,9319.0,50539,4.51,0.2208,0.995808,1,24,18,13,8
수색동,은평구,11380650,963.0,12325,1.29,0.2208,0.284832,0,7,1,4,3
역촌동,은평구,11380625,5473.0,42058,1.16,0.2208,0.256128,0,46,3,26,15
은평신사,은평구,11380631,5323.0,36529,1.84,0.4416,0.406272,0,19,0,9,8
응암동,은평구,11380580,3771.0,23907,1.2,0.2208,0.26496,0,34,5,25,7
증산동,은평구,11380640,1736.0,14971,0.81,0.2208,0.178848,0,8,1,3,5
진관동,은평구,11380690,4742.0,62844,11.53,0.2208,2.545824,4,20,0,12,10
가회동,종로구,11110600,631.0,7131,0.54,0.2144,0.115776,0,3,0,2,1
교남동,종로구,11110580,1219.0,7143,0.35,0.2144,0.07504,1,5,0,1,5
무악동,종로구,11110570,494.0,6890,0.36,0.2144,0.077184,0,1,0,1,0
부암동,종로구,11110550,1129.0,14329,2.27,0.2144,0.486688,0,1,0,0,1
사직동,종로구,11110530,1487.0,24657,1.23,0.2144,0.263712,0,24,3,10,13
삼청동,종로구,11110540,380.0,5117,1.49,0.2144,0.319456,1,4,0,1,3
숭인동,종로구,11110700,3995.0,20567,0.58,0.2144,0.124352,0,20,2,5,13
이화동,종로구,11110640,2094.0,23777,0.78,0.2144,0.167232,0,6,0,2,4
종로동,종로구,11110615,2371.0,62157,2.35,0.2144,0.50384,4,77,11,37,36
창신동,종로구,11110670,1069.0,8272,0.31,0.2144,0.066464,1,17,4,4,14
청운효자동,종로구,11110515,1378.0,17143,2.57,0.2144,0.551008,0,8,1,5,3
평창동,종로구,11110560,1302.0,17452,8.87,0.2144,1.901728,0,21,2,6,12
혜화동,종로구,11110650,4925.0,29878,1.12,0.2144,0.240128,0,9,1,5,4
광희동,중구,11140590,1391.0,23176,0.74,0.1882,0.139268,0,25,2,18,6
다산동,중구,11140625,2466.0,14575,0.51,0.1882,0.095982,0,1,0,0,1
명동,중구,11140550,581.0,37115,0.99,0.1882,0.186318,3,22,5,10,13
소공동,중구,11140520,435.0,29429,0.95,0.1882,0.17879,6,13,2,11,5
신당동,중구,11140615,2223.0,22035,0.55,0.1882,0.10351,0,91,11,45,38
약수동,중구,11140635,2054.0,14531,0.48,0.1882,0.090336,0,2,0,0,2
장충동,중구,11140580,1509.0,12143,1.36,0.1882,0.255952,0,5,0,2,3
중림동,중구,11140680,1627.0,9451,0.48,0.1882,0.090336,0,9,0,4,5
필동,중구,11140570,1020.0,11329,1.14,0.1882,0.214548,0,12,2,2,10
황학동,중구,11140670,2963.0,13221,0.33,0.1882,0.062106,0,17,1,6,8
황학동,중구,11140670,2963.0,13221,0.33,0.1882,0.062106,0,14,0,7,6
회현동,중구,11140540,867.0,25595,0.84,0.1882,0.158088,0,7,3,2,3
망우동,중랑구,11260655,7429.0,50655,3.95,0.2601,1.027395,0,45,9,24,19
면목동,중랑구,11260565,22193.0,113863,6.01,0.2601,1.563201,3,154,26,71,75
묵동,중랑구,11260620,6790.0,44265,1.87,0.2601,0.486387,0,50,8,27,18
상봉동,중랑구,11260580,7686.0,43730,1.53,0.2601,0.397953,0,71,12,41,26
신내동,중랑구,11260680,2426.0,34433,2.56,0.2601,0.665856,0,42,11,19,18
중화동,중랑구,11260600,2353.0,16755,0.64,0.2601,0.166464,0,60,5,20,37
