행정동,사망자수,중상자수,경상자수,교차로,단일
가락동,0,67,4,44,20
가리봉동,3,17,3,13,7
가산동,4,37,11,20,19
가양동,2,20,4,12,9
가회동,0,3,0,2,1
갈현동,0,23,5,13,8
강남신사,1,51,7,22,23
강일동,1,8,4,7,2
개봉동,4,67,9,42,26
개포동,0,39,12,24,15
거여동,1,18,1,12,7
고척동,1,28,7,16,10
공덕동,1,27,2,13,12
공릉동,1,78,14,51,20
공항동,0,9,4,6,2
광장동,0,7,0,2,5
광희동,0,25,2,18,6
교남동,1,5,0,1,5
구로동,5,117,23,65,53
구산동,0,14,3,11,1
구의동,0,30,6,16,12
군자동,0,19,3,9,10
금호동,1,31,1,17,12
길동,0,33,7,21,10
길음동,2,22,2,7,14
남가좌동,0,15,1,5,10
남영동,0,8,4,4,3
남현동,0,14,0,7,7
내곡동,0,4,1,1,2
노량진동,1,50,8,24,21
녹번동,1,27,10,11,12
논현동,0,139,27,49,67
능동,0,10,0,6,3
다산동,0,1,0,0,1
답십리동,2,81,7,48,28
당산동,0,52,6,24,24
대림동,0,47,3,32,11
대방동,0,20,4,8,8
대조동,1,19,5,11,5
대치동,3,94,7,41,52
대흥동,0,21,2,11,8
도곡동,1,40,9,22,19
도림동,0,11,3,9,2
도봉동,2,37,4,22,14
도화동,0,9,3,6,2
독산동,4,127,32,82,41
돈암동,0,18,6,4,12
동선동,2,41,3,14,26
둔촌동,0,16,2,5,10
등촌동,0,46,9,25,15
마장동,0,39,4,19,18
마천동,0,16,1,6,10
망우동,0,45,9,24,19
망원동,0,44,15,18,23
면목동,3,154,26,71,75
명동,3,22,5,10,13
명일동,1,44,5,27,17
목동,1,55,6,27,25
무악동,0,1,0,1,0
묵동,0,50,8,27,18
문래동,0,43,7,22,16
문정동,1,38,9,23,12
미아동,1,135,31,63,58
반포동,1,60,12,26,25
발산동,0,25,4,16,3
방배동,1,66,9,29,34
방이동,0,50,13,22,26
방학동,0,51,6,22,21
방화동,1,32,3,20,10
번동,4,56,10,28,24
보광동,0,16,1,6,8
보문동,1,19,6,12,5
봉천동,2,211,34,111,82
부암동,0,1,0,0,1
북가좌동,0,35,5,20,15
북아현동,0,11,1,4,6
불광동,1,24,18,13,8
사근동,0,4,1,3,1
사당동,0,54,3,26,23
사직동,0,24,3,10,13
삼선동,0,18,2,9,8
삼성동,0,64,16,21,38
삼전동,0,21,5,9,11
삼청동,1,4,0,1,3
상계동,2,137,35,83,48
상도동,1,96,20,51,36
상봉동,0,71,12,41,26
상암동,2,19,4,15,5
서교동,0,28,7,17,9
서빙고동,1,26,5,12,13
서초동,2,115,8,52,60
석관동,0,25,3,12,11
석촌동,0,28,3,17,9
성내동,0,29,1,11,15
성북동,0,4,2,2,2
성산동,3,24,5,14,10
성수동,2,87,11,54,30
세곡동,0,10,1,5,5
소공동,6,13,2,11,5
송정동,0,3,1,1,2
송파동,0,54,3,35,16
수궁동,0,5,1,3,2
수색동,0,7,1,4,3
수서동,1,19,1,10,6
수유동,1,124,26,75,39
숭인동,0,20,2,5,13
시흥동,2,65,14,38,26
신길동,1,78,15,35,43
신내동,0,42,11,19,18
신당동,0,91,11,45,38
신대방동,2,40,11,24,12
신도림동,0,23,5,9,8
신림동,5,237,48,128,87
신수동,2,12,2,8,4
신월동,2,78,15,40,37
신정동,3,98,15,50,47
신천동,1,38,10,23,12
신촌동,1,13,0,2,11
쌍문동,0,64,16,43,19
아현동,0,14,3,6,7
안암동,0,33,0,13,16
암사동,0,33,10,15,15
압구정동,1,8,1,4,5
약수동,0,2,0,0,2
양재동,1,48,4,24,23
양평동,3,49,7,24,26
여의도동,1,66,17,39,24
역삼동,4,136,23,72,59
역촌동,0,46,3,26,15
연남동,0,12,2,6,6
연희동,1,33,2,20,12
염리동,0,6,0,2,4
염창동,4,16,5,10,7
영등포동,0,74,12,31,39
오금동,0,38,5,24,11
오류동,2,118,23,72,32
옥수동,0,13,0,8,5
왕십리동,1,29,5,19,9
용강동,0,7,1,6,1
용답동,0,11,0,5,6
용문동,0,5,1,2,2
용산동,0,23,0,7,13
우이동,1,5,0,5,0
우장산동,2,54,15,36,15
원효로동,0,9,3,6,2
월계동,0,47,7,26,17
월곡동,2,51,3,22,25
은평신사,0,19,0,9,8
응봉동,0,1,0,0,1
응암동,0,34,5,25,7
이문동,2,40,3,21,20
이촌동,0,15,1,7,8
이태원동,0,38,5,12,19
이화동,0,6,0,2,4
일원동,2,27,0,13,14
자양동,0,46,6,23,16
잠실동,2,77,14,45,30
잠원동,1,24,5,18,7
장안동,3,103,8,59,41
장위동,6,37,8,20,17
장지동,1,27,2,16,11
장충동,0,5,0,2,3
전농동,2,54,6,32,21
정릉동,1,44,1,18,24
제기동,1,54,6,31,18
종로동,4,77,11,37,36
종암동,0,43,4,20,21
중계동,2,46,3,31,10
중곡동,0,52,9,25,21
중림동,0,9,0,4,5
중화동,0,60,5,20,37
증산동,0,8,1,3,5
진관동,4,20,0,12,10
창동,2,59,13,39,18
창신동,1,17,4,4,14
천연동,2,28,5,13,15
천호동,1,83,9,46,33
청담동,3,44,4,19,24
청량리동,0,29,7,19,10
청운효자동,0,8,1,5,3
청파동,1,17,2,8,9
충현동,0,12,0,5,6
평창동,0,21,2,6,12
풍납동,0,24,2,15,9
필동,0,12,2,2,10
하계동,0,35,2,18,15
한강로동,0,11,0,4,3
한남동,3,41,3,18,23
합정동,0,15,2,12,1
행당동,2,52,7,33,19
혜화동,0,9,1,5,4
홍은동,2,27,3,17,11
홍제동,1,23,6,10,13
화곡동,1,150,28,73,63
화양동,0,25,1,13,10
황학동,0,17,1,6,8
황학동,0,14,0,7,6
회기동,2,105,9,69,32
회기동,0,17,3,8,7
회현동,0,7,3,2,3
효창동,0,6,1,4,1
후암동,0,7,1,2,3
휘경동,1,30,2,14,17
흑석동,1,16,2,5,9